Razao Social,Nome Fantasia,Logradouro,numero,Bairro,Municipio,cep,UF
MARALOG DISTRIBUICAO S/A,,ANUAR PACHA,400,PQ JOAQUIM LOPES,CATANDUVA,15800670,SP
MARAMAR VEICULOS LTDA,,BRAZ CUBAS,385,VILA NOVA,SANTOS,11013163,SP
MARANHAO AUTO SERVICO S/A,,SAO PAULO,1210,HIGIENOPOLIS,CATANDUVA,15804000,SP
MARANHAO SUPERMERCADOS S/A,SUPERMERCADO MARANHAO,MARANHAO,01,CENTRO,CATANDUVA,15800020,SP
MARBOR LOCADORA LTDA.,,PROFESSOR FLAVIANO DE MELO,313,CENTRO,MOGI DAS CRUZES,08710620,SP
MARBORY CONSTRUCOES EIRELI,MARBORY CONSTRUCOES,GALEAZZO ALESSI,264,VILA MONTE ALEGRE,SAO PAULO,04305050,SP
MARC CONSTRUCOES LTDA,MARC CONSTRUCOES,JOSE GOMES CORREIA,230,CENTRO,TAPIRAI,18180000,SP
MARCAMP EQUIPAMENTOS LTDA,,SP 101,S/N,SITIO GARCIA,MONTE MOR,13190000,SP
MARCELINO CONTRUCOES E MAO DE OBRA EIRELI,MARCELINO CONTRUCOES E MAO DE OBRA,MAGALHAES DE CASTRO,4800,CIDADE JARDIM,SAO PAULO,05676120,SP
MARCELO TORQUATO DOS SANTOS - EIRELI,LUIZINHO BABY,DOUTOR VIRGILIO DO NASCIMENTO,49,BRAS,SAO PAULO,03027020,SP
MARCHAND AGRICOLA E PECUARIA LTDA,NUTRINOVA,BENEDITO JOSE CARVALHO RAMOS,480,PARQUE INDUSTRIAL,SERRANA,14150000,SP
MARCIO A SPOSITO TRANSPORTES LTDA,AUTO POSTO ELDORADO,MARECHAL CASTELO BRANCO,420,VILA JAMIL DE LIMA,ADAMANTINA,17800000,SP
MARCIO CAVALCANTE DA SILVA,MCS ENGENHARIA DE INSTALACOES ELETRICAS E HIDRAULICAS,DOUTOR ANTONIO BENTO,560,SANTO AMARO,SAO PAULO,04750001,SP
MARCIO RODRIGO ZAGO EIRELI,,DOUTOR MARTIN LUTHER KING,383,SAUDADE,ARACATUBA,16020190,SP
MARCO POLO TEXTIL INDUSTRIA E COMERCIO LTDA,,ALFONSUS GUIMARAES,84,VILA DAS PALMEIRAS,GUARULHOS,07013160,SP
MARCON INDUSTRIA METALURGICA LTDA,MARCON INDUSTRIA METALURGICA,COELHO NETO,48,PALMITAL,MARILIA,17510013,SP
MARCONDES & MARCONDES - ESCOLA DE EDUCACAO INFANTIL E ENSINO FUNDAMENTAL EIRELI,,CASTRO ALVES,48,EMBARE,SANTOS,11040190,SP
MARCONDES SERVICOS DE SEGURANCA E VIGILANCIA PATRIMONIAL LTDA,,DUARTE DA COSTA,137,VILA NOGUEIRA,CAMPINAS,13088010,SP
MARCOS E. MARINS - SEGURANCA,M C SEGURANCA,ROBERTO DORNELLAS,102,JARDIM SEMPRE VERDE,JAU,17211601,SP
MARCOS RIBEIRO E CIA LTDA,LIDER BALANCAS,JORGE MELLEM REZEK,3411,PARQUE INDUSTRIAL,ARACATUBA,16075300,SP
MARCYN CONFECCOES EIRELI,MARCYN,VESPASIANO,219,VL ROMANA,SAO PAULO,05044050,SP
MARDAM INDUSTRIA E COMERCIO DE PRODUTOS DE HIGIENE LTDA,,IPANGUACU,395,JD. TERESA PALMA,POA,08555260,SP
MAREL BRASIL COMERCIAL E INDUSTRIAL LTDA,,COMENDADOR LEOPOLDO DEDINI,150,UNILESTE,PIRACICABA,13422210,SP
MAREMONTI RIVIERA RESTAURANTE LTDA.,,DOS COQUEIROS,83,RIVIERA DE SAO LOURENCO,BERTIOGA,11250003,SP
MARFIN - SERVICOS ADMINISTRATIVOS LTDA,,FERNANDO FEBELIANO DA COSTA,1625,ALEMAES,PIRACICABA,13416253,SP
MARFORT SERVICOS MARITIMOS LTDA,MARFORT SERVICOS MARITIMOS,GUILHERME BACKEUSER,76,SITIO PAE CARA,GUARUJA,11450410,SP
MARGRAF EDITORA E INDUSTRIA GRAFICA LTDA,,PIRACEMA,1092,CENT. EMP. TAMBORE,BARUERI,06460932,SP
MARIA APARECIDA BRUCANELLI,TIQUINHO BORDADOS,JOSE DE MARTIN,360,JD ALVORADA,BORBOREMA,14955000,SP
MARIA BENTA SUPERMERCADO EIRELI,MARIA BENTA SUPERMERCADO,PHILADELPHO MANOEL GOUVEIA NETTO,1955,JARDIM MONA,SAO JOSE DO RIO PRETO,15050006,SP
MARIA EMILIA LOPES TEIXEIRA,SANTO EXPEDITO REFLORESTAMENTO,ITAI,67,VILA NOVA,ITAPEVA,18410000,SP
MARIA LUIZA CONSTRUCOES E EMPREENDIMENTOS IMOBILIARIOS LTDA,,ANGELO MOLAN,65,JD CONDE DO PINHAL I,JAU,17203061,SP
MARIAS RESTAURANTE LTDA,DUE CUOCHI COCINA,MANOEL GUEDES,93,ITAIM BIBI,SAO PAULO,04536070,SP
MARIEL LOGISTICA LTDA.,MARIEL LOGISTICA,JOAO PAULO DEALES BERNARDO,107,JARDIM CASTELO,SANTOS,11085440,SP
MARIMEX DESPACHOS TRANSPORTES E SERVICOS LTDA,MARIMEX,XAVIER PINHEIRO,23,MACUCO,SANTOS,11015090,SP
MARINA ASTURIAS - SERVICOS NAVAIS LTDA,,FRANCESCA SAPOCHETI CASTRUCCI,805,JARDIM ASTURIAS,GUARUJA,11420550,SP
MARINAS NACIONAIS COMERCIAL LTDA.,,BERTIOGA,20000,BALNEARIO PRAIA DO PEREQUE,GUARUJA,11446002,SP
MARINGA PASSAGENS E TURISMO LTDA,,MADEIRA,44,CENTRO EMPRESARIAL DE ALPHAVILLE,BARUERI,06454010,SP
MARINI & MARINI DE SAO CARLOS LTDA,,MAJOR MANOEL ANTONIO DE MATTOS,127,VILA MONTEIRO,SAO CARLOS,13560831,SP
MARIOL EMBALAGENS LTDA,,MARIO DE OLIVEIRA,505,DISTRITO INDUSTRIAL II,BARRETOS,14781160,SP
MARIOL INDUSTRIAL LTDA,,MARIO DE OLIVEIRA,605,ZONA DE USO DIVERSIFICADO PEDRO PINTO PAIXAO,BARRETOS,14781160,SP
MARIOTTA CALCADOS LTDA,MARIOTTA CALCADOS,JOSE NABUCO,160,JD DR LUCIANO,JAU,17212360,SP
MARIPAV PAVIMENTACAO E CONSTRUCAO LTDA,MARIPAV,REPUBLICA,7450,DISTRITO INDUSTRIAL SANTO BARION,MARILIA,17512035,SP
MARISA LOJAS S.A.,LOJAS MARISA,JAMES HOLLAND,422,BARRA FUNDA,SAO PAULO,01138000,SP
MARISTELA TELHAS LTDA,TOP TELHA,"ANHANGUERA KM 184,6",S/N,INDUSTRIAL,LEME,13610831,SP
MARITUCS ALIMENTOS LIMITADA,MARITUCS,REPUBLICA,6128,DISTRITO INDUSTRIAL,MARILIA,17512035,SP
MARJAN INDUSTRIA E COMERCIO LTDA,,GIBRALTAR,165,SANTO AMARO,SAO PAULO,04755070,SP
MARK MED INDUSTRIA E COMERCIO LTDA,,EXPEDICIONARIO JOSE FRANCO DE MACEDO,27,BAIRRO DA PENHA,BRAGANCA PAULISTA,12929460,SP
MARKA INDUSTRIA E COMERCIO DE PRE FABRICADOS DE CONCRET,,PAPA JOAO XXIII,3000,ZONA RURAL,BRODOWSKI,14340000,SP
MARKA TEXTIL EIRELI,BRUNELLI TECIDOS,DR. ADHEMAR DE BARROS,777,ITAPEMA,GUARAREMA,08900000,SP
MARKA VEICULOS LTDA.,MARKA,DONA OLIMPIA SANZOVO CASEIRO,255-A,DISTRITO INDUSTRIAL,JAU,17206240,SP
MARKEM-IMAJE IDENTIFICACAO DE PRODUTOS LTDA.,MARKEM-IMAJE,ARAGUAIA,2104,ALPHAVILLE INDUSTRIAL,BARUERI,06455000,SP
MARKETDATA SOLUTIONS BRASIL LTDA,,DAS NACOES UNIDAS,12495,BROOKLIN PAULISTA,SAO PAULO,04578000,SP
MARKETING BRASIL CONSULTORIA MERCADOLOGICA LTDA,,ANTONIO MACEDO,380,PARQUE SAO JORGE,SAO PAULO,03087010,SP
MARLES INDUSTRIA TEXTIL ECOMERCIO LIMITADA,,CLEVELAND,610,CAMPOS ELISEOS,SAO PAULO,01218000,SP
MAROMATEL SYSTEM CONSULTORIA EM NEGOCIOS EIRELI,MAROMATEL SYSTEM,EUCLIDES PACHECO,1342,VILA GOMES CARDIM,SAO PAULO,03321001,SP
MARQUES & GUIZALBERTE APOIO ADMINISTRATIVO EIRELI,,GUADALUPE,632,JARDIM AMERICA,SAO JOSE DOS CAMPOS,12235000,SP
MARQUES & MARQUES SEGURANCA E VIGILNCIA LTDA - EIRELI,,VINTE E DOIS DE AGOSTO,606,VILA XAVIER (VILA XAVIER),ARARAQUARA,14810125,SP
MARQUES CONSTRUTORA E INCORPORADORA LTDA,,ALVARENGA,551,BUTANTA,SAO PAULO,05509000,SP
MARQUESPAN INDUSTRIA DE ALIMENTOS LTDA,MARQUESPAN,ANNA INGHES DEL FIOL,571,VILA SAO CRISTOVAO,TATUI,18280005,SP
MARSH CORRETORA DE SEGUROS LTDA.,ESTABELECIMENTO UNIFICADO,MARIA COELHO AGUIAR,215,JARDIM SAO LUIZ,SAO PAULO,05805000,SP
MARSH GSC SERVICOS E ADMINISTRACAO DE SEGUROS LTDA.,,MARIA COELHO AGUIAR,215,JARDIM SAO LUIS,SAO PAULO,05805000,SP
MARSON COMERCIO E DISTRIBUICAO DE MATERIAIS DE CONSTRUCAO LTDA,,ARIOVALDO VIANA,250,CENTRO,SERRA NEGRA,13930000,SP
MART MADEIRAS E EMBALAGENS LTDA.,,GUARANI,1032,VILA CONCEICAO,DIADEMA,09991060,SP
MARTE VEICULOS LTDA,,BRAZ LEME,2885,SANTANA,SAO PAULO,02022011,SP
MARTEC SERVICOS DE MANUTENCAO EM INFORMATICA EIRELI,,AMAZONAS,363,CENTRO,SAO CAETANO DO SUL,09520060,SP
MARTIFER METAL LTDA.,MARTIFER METAL,ADHEMAR PEREIRA DE BARROS,973,CHACARA JARDIM SANTA MARIA,JACAREI,12328300,SP
MARTIN ENGINEERING LTDA,,ESTACIO DE SA,2.104,JARDIM SANTA GENEBRA,CAMPINAS,13080010,SP
MARTIN SPROCKET & GEAR BRASIL ENGRENAGENS LTDA,,SP 332,S/N,PALMEIRAS,ARTUR NOGUEIRA,13160000,SP
MARTINICA COMERCIAL LTDA,,MARTINICA,80,PARQUE CAPUAVA,SANTO ANDRE,09271110,SP
MARTINREA HONSEL BRASIL FUNDICAO E COMERCIO DE PECAS EM ALUMINIO LTDA.,MARTINREA-HONSEL,MAGAL,261,RESENDE,MONTE MOR,13190000,SP
MARTINS & LOCOCO LAVANDERIA LTDA,,PAULO CANDIDO DA SILVA (P LARANJEIRAS),139,LARANJEIRAS,CAIEIRAS,07745045,SP
MARTINS COSTA LOCACAO DE EQUIPAMENTOS E SERVICOS DE HIDROJATEAMENTO LTDA,HYDROPOWER,DR. VALENTINDEL NERO,125,CENTRO,PIRACAIA,12970000,SP
MARTINS CRUZ PECAS E ACESSORIOS AGRICOLAS LTDA,MAQUINAS AGRICOLAS CRUZ,BRIGADEIRO FARIA LIMA,S/N,ZONA RURAL,JABOTICABAL,14872000,SP
MARTINS DA COSTA & CIA LTDA,OFNER,OLIVIA GUEDES PENTEADO,375,JARDIM SOCORRO,SAO PAULO,04766001,SP
MARTINS DELGADO & CIA LTDA,SUPERMERCADOS SANTA CRUZ,AMAZONAS,3638,PATRIMONIO VELHO,VOTUPORANGA,15505208,SP
MARTINS INDUSTRIA E COMERCIO DE PRODUTOS CERAMICOS LTDA,CERAMICA MARTINS,CEZAR LEPRI,1143,VILA ALVORADA,TAMBAU,13710000,SP
MARTITERRA TERRAPLENAGEM PAVIMENTACAO E COMERCIO LTDA,,AUGUSTO TONIN,424,LOTEAMENTO COMERCIAL VITORIA MARTINI,INDAIATUBA,13347617,SP
MARUTEC IND.COM.IMPORTACAO E EXPORTACAO LTDA,MARUTEC MUSIC,SADAE TAKAGI,1950,COOPERATIVA,SAO BERNARDO DO CAMPO,09852070,SP
MARVIN - SEGURANCA PATRIMONIAL LTDA.,,PERO CORREA,563,ITARARE,SAO VICENTE,11320140,SP
MARVITUBOS TUBOS E PECAS HIDRAULICAS LTDA,,REINALDO SANDRIN,1670,DISTRITO EMPRESARIAL PREFEITO LUIZ ROBERTO JABALI,RIBEIRAO PRETO,14072080,SP
MARXTOR EQUIPAMENTOS E MONTAGENS INDUSTRIAIS EIRELI,,RAFAEL MEDINA,769,DISTRITO INDUSTRIAL II,ARARAQUARA,14808160,SP
MARY KAY DO BRASIL LTDA,MARY KAY,ARUANA,280,TAMBORE,BARUERI,06460010,SP
MARY S CALCADOS LTDA,,MAURICIO STABILE,1054,JARDIM SANTANA,BIRIGUI,16202408,SP
MARZO VITORINO - INDUSTRIA E COMERCIO DE MOVEIS LTDA,,DOS TRABALHADORES,95,TERRA PRETA,MAIRIPORA,07600000,SP
MAS INDUSTRIA E COMERCIO DE TECIDOS DESCARTAVEIS LTDA,,PREFEITO JOSE CARLOS,915,SANTA JULIA,ITUPEVA,13295000,SP
MASAFLEX INDUSTRIA E COMERCIO EIRELI,,INDIO TIBIRICA (SP-31),S/N,RONCON,RIBEIRAO PIRES,09410000,SP
MASCELLA & CIA LTDA,,ATANAZIO SOARES,1247,VILA CAROL,SOROCABA,18075000,SP
MASF INDUSTRIA E COMERCIO DE PANIFICACAO LTDA,,JOAO PAULO ABLAS,1349,JD DA GLORIA,COTIA,06711250,SP
MASH INDUSTRIA E COMERCIO LTDA,,MARECHAL TITO,6829,ITAIM PAULISTA,SAO PAULO,08115100,SP
MASIERO INDUSTRIAL S A,,JAU DOIS CORREGOS,KM 6,INDUSTRIAL,JAU,17201970,SP
MASIPACK INDUSTRIA E COMERCIO DE MAQUINAS AUTOMATICAS S/A,,MIRAGAIA,13,VILA PAULICEIA,SAO BERNARDO DO CAMPO,09689000,SP
MASK MAIS DISTRIBUIDORA DE DROPS E GOMAS EIRELI,MASK MAIS DISTRIBUIDORA,MARECHAL RONDON,S/N,NUCLEO RESIDENCIAL EDISON BASTOS GASPARINI,BAURU,17022531,SP
MASSEY FERGUSON ADMINISTRADORA DE CONSORCIOS LTDA.,CONSORCIO NACIONAL MASSEY FERGUSON,JOAO RAMALHO,30,VILA NOVA,ITU,13309045,SP
MASSFIX COMERCIO DE SUCATAS DE VIDROS LTDA,,GINO PARENTI,415,JD NOSSA SENHORA APARECIDA,GUARULHOS,07177140,SP
MASSTIN INSTALACOES E MANUTENCAO LTDA.,MASSTIN INSTALACOES E MANUTENCAO,SETE DE SETEMBRO,97,JARDIM RECANTO,DIADEMA,09912010,SP
MASSUCATO INDUSTRIA E COMERCIO LTDA,,RUI IDELFONSO MARTINS LISBOA,430,CHACARA CAMPOS DOS AMARAIS,CAMPINAS,13082020,SP
MASTER BLINDAGENS LTDA,,VITORINO CARMILO,71,BARRA FUNDA,SAO PAULO,01153000,SP
MASTER CLEAR SERVICOS DE LIMPEZA LTDA,MASTER CLEAR SERVIOS GERAIS,GENERAL GLICERIO,717,CENTRO,SANTO ANDRE,09015190,SP
MASTER FORTE TERCEIRIZACAO E LOCACAO DE MAO DE OBRA LTDA,,DOUTOR ANTONIO CANDIDO VIEIRA,514,CENTRO,MOGI DAS CRUZES,08710200,SP
MASTER INTERMEDIACAO E TECNOLOGIA DE NEGOCIOS EIRELI,MASTERGOLD,BOA VISTA,63,CENTRO,SAO PAULO,01014001,SP
MASTER KITCHEN REFEICOES E LANCHES LTDA,,COMENDADOR CARLO MARIO GARDANO,260,VILA SANTA RITA DE CASSIA,SAO BERNARDO DO CAMPO,09720470,SP
MASTER PERFURACOES E DESMONTES LTDA,MASTER PERFURACOES E DESMONTES,JOSE RIUL,1048,DISTRITO JURUCE,JARDINOPOLIS,14690000,SP
MASTER PUMPS EMBALAGENS COMERCIO IMPORTACAO E EXPORTACAO LTDA,,HUMBERTO ALENCAR CASTELO BRANCO,670,ASSUNCAO,SAO BERNARDO DO CAMPO,09850300,SP
MASTER SECURITY SEGURANCA PATRIMONIAL LTDA,,CONSELHEIRO NEBIAS,1142,CAMPOS ELISEOS,SAO PAULO,01203002,SP
MASTERCARD BRASIL SOLUCOES DE PAGAMENTO LTDA.,MASTERCARD BRASIL,DAS NACOES UNIDAS,14171,VILA GERTRUDES,SAO PAULO,04794000,SP
MASTERCON ADMINISTRADORA DE MAO-DE-OBRA LTDA.,MASTERCON,LUZITANA,1401,CENTRO,CAMPINAS,13015122,SP
MASTERCRYL PINTURAS EIRELI,,MARIA DE JESUS CONDEIXA,600,JARDIM PALMA TRAVASSOS,RIBEIRAO PRETO,14091240,SP
MASTIFLEX - INDUSTRIA DE SELANTES E MASSAS LTDA,,DOUTOR JALLES MARTINS SALGUEIRO,218,SERTAOZINHO,MAUA,09372000,SP
MASTRA INDUSTRIA E COMERCIO LTDA,,DR. HIPOLITO PINTO RIBEIRO,180,VILA NOVA,LIMEIRA,13486317,SP
MAT EQUIPAMENTOS PARA GASES LTDA.,,DR.JOSE LUIZ LEME MACIEL,415,JORDANESIA,CAJAMAR,07760000,SP
MATEC ENGENHARIA E CONSTRUCOES LTDA,,INDIANOPOLIS,379,MOEMA,SAO PAULO,04063002,SP
MATERA SYSTEMS INFORMATICA SA,MATERA SYSTEMS,DOUTOR RICARDO BENETTON MARTINS S/N,S/N,POLO II DE ALTA TECNOLOGIA (CAMPINAS),CAMPINAS,13086902,SP
MATEUBRAS - COMERCIO DE MATERIAIS PARA CONSTRUCAO LTDA,,DOS LATINOS,512,JD SANTA TEREZINHA,SAO PAULO,03572000,SP
MATEUS ALIMENTOS LTDA - EM RECUPERACAO JUDICIAL,,"SP 350 S.JOSE-TAP.KM265,5",SN,ZONA RURAL,SAO JOSE DO RIO PARDO,13720000,SP
MATINOX MONTAGENS INDUSTRIAIS LTDA,,SAFIRA (JD DONINI),96,CENTRO,DIADEMA,09920460,SP
MATRA DO BRASIL LTDA,INDUSTRIA MATRA,INDUSTRIAL,775,DO CORREDOR,ITAQUAQUECETUBA,08586150,SP
MATRA INDUSTRIA E COMERCIO LTDA,,WASHINGTON LUIZ,S/N,VILA INDUSTRIAL,SAO CARLOS,13565800,SP
MATRA PIRAJU INDUSTRIA E COMERCIO DE ARTEFATOS DE CONCRETO LTDA,,ORESTES PIACENCO,420,DISTRITO INDUSTRIAL,PIRAJU,18800000,SP
MATRIZARIA E ESTAMPARIA MORILLO EIRELI,MORILLO,"PRESIDENTE DUTRA KM 218,200",KM 218,CUMBICA,GUARULHOS,07183902,SP
MATTARAIA ENGENHARIA INDUSTRIA E COMERCIO LTDA,,ANHANGUERA KM.305 A,S/N.,RECREIO ANHANGUERA,RIBEIRAO PRETO,14001970,SP
MATTAVELLI GRAFICA E EDITORA LTDA,,HERMINIO LEMOS,341,CAMBUCI,SAO PAULO,01540000,SP
MATTEL DO BRASIL LTDA,MATTEL,VERBO DIVINO 1488,1488,CHACARA SANTO ANTONIO (ZONA SUL),SAO PAULO,04719904,SP
MATTOS & TRAVENSOLLO LTDA,,DOMICIANO AREDES,861,CENTRO,DUARTINA,17470000,SP
"MATTOS FILHO, VEIGA FILHO, MARREY JR. E QUIROGA ADVOGADOS",,JOAQUIM EUGENIO DE LIMA,447,JARDIM PAULISTA,SAO PAULO,01403001,SP
MAUA BENEFICIAMENTO DE PECAS LTDA,MAUA,SANTA LUCIA,137,SANTA CECILIA,MAUA,09380100,SP
MAURICIO DE SOUSA PRODUCOES S.A,,WERNER VON SIEMENS,111,LAPA DE BAIXO,SAO PAULO,05069010,SP
MAURIZIO & CIA LTDA,,DR ABILIO SAMPAIO,725,VILA GUSTAVO,SAO PAULO,02209040,SP
MAURO SCHIEVENIN ENGENHARIA E CONSTRUCOES EIRELI,VALIENGO SCHIEVENIN ENGENHARIA,BARUEL,544,CENTRO,SUZANO,08675000,SP
MAURO YOSHIO NAKATA EIRELI,,ALFREDO  DE OLIVEIRA CARVALHO SP 249,S/N,LINDA PAISAGEM,FARTURA,18870000,SP
MAUSA SA EQUIPAMENTOS INDUSTRIAIS,MAUSA,COMENDADOR LEOPOLDO DEDINI,500,UNILESTE,PIRACICABA,13422902,SP
MAVSA RESORT CONVENTION SPA EIRELI,,3 DE MAIO,02500,PASSA TRES,CESARIO LANGE,18285000,SP
MAX -PAC TERCEIRIZACAO EM PROCESSOS INDUSTRIAIS LTDA.,,FUNDIBEM,865,CASA GRANDE,DIADEMA,09961390,SP
MAX BOLT INDUSTRIA E COMERCIO DE METAIS LTDA,,VICE PREFEITO HERMENEGILDO TONOLLI,2777,SAO ROQUE DA CHAVE,ITUPEVA,13295000,SP
"MAX EBERHARDT UTILIDADES DOMESTICAS, COMERCIO, IMPORTACAO, EXPORTACAO E REPRESENTACAO LTDA",,VITOR ANGELO FORTUNATO,280,JARDIM ALVORADA,JANDIRA,06612800,SP
MAX GEAR INDUSTRIA E COMERCIO DE AUTO PECAS LTDA.,,QUINZE DE DEZEMBRO,1230,PENHA INDUSTRIAL I,BRAGANCA PAULISTA,12910902,SP
MAX PRECISION INDUSTRIA METALURGICA LIMITADA,MAX PRECISION,MARIA LEONOR,836,PARQUE REID,DIADEMA,09920080,SP
MAX PROTECAO SERVICOS DE PORTARIA LTDA,MAX PROTECAO SERVICOS DE PORTARIA LTDA,PROFESSOR GILIO SATTIN,201,RIO PEQUENO,SAO PAULO,05379150,SP
MAX SERVICE MONTAGENS INDUSTRIAIS EIRELI,,DO NIQUEL,759,CDA,ASSIS,19812040,SP
MAX TOUR FRETAMENTOS E TURISMO LTDA,MAX TOUR,HELIO FAZZIO,260,JARDIM ALVINOPOLIS II,ATIBAIA,12951732,SP
"MAX8 BAR, CAFE E RESTAURANTE - EIRELI",,PEIXOTO GOMIDE,1972,JARDIM PAULISTA,SAO PAULO,01409002,SP
MAXAM NITROVALE INDUSTRIA QUIMICA LTDA,MAXAM,MUNIC. CELESTINO FERNANDES DA SILVA,S/N,ZONA RURAL,CRUZEIRO,12701970,SP
MAXCONTREL - SERVICOS PARA APOIO E MONITORAMENTO EIRELI,MAXCONTREL - SEGURANCA E MONITORAMENTO,46A,631,VILA ALEMA,RIO CLARO,13506600,SP
MAXI RUBBER INDUSTRIAS QUIMICAS LTDA,,LUIGI PAPAIZ,783,CAMPANARIO,DIADEMA,09931610,SP
MAXIBARRAS INDUSTRIA E COMERCIO DE METAIS EIRELI,MAXIBARRAS,SANTA ISABEL,200,UNA,ITAQUAQUECETUBA,08586260,SP
"MAXICASA BRASIL INDUSTRIA, COMERCIO, IMPORTACAO E EXPORTACAO EIRELI",MAXICASA BRASIL,DR ADHEMAR DE BARROS,670,VILA MARIA,PORTO FERREIRA,13660000,SP
MAXIFARMA DISTRIBUIDORA DE MEDICAMENTOS LTDA,GRUPO MAXIFARMA,ALFREDO FOLCHINI,508,VILA TONINHO,SAO JOSE DO RIO PRETO,15081500,SP
MAXIHOTEL LAVANDERIA PROFISSIONAL LIMITADA,,PROJETADA I,601 A,DISTRITO INDUSTRIAL II,BADY BASSITT,15115000,SP
MAXILIMPSERVICE LIMPEZA & CONSERVACAO EIRELI,MAXILIMP - SERVICOS DE CONSERVACAO & LIMPEZA LTDA.,MARECHAL TAUMATURGO DE AZEVEDO,120,VILA SANTANA,SAO PAULO,04679150,SP
MAXIM ADMINISTRACAO E PARTICIPACOES LTDA,,BARAO DE DUPRAT,181,CENTRO,SAO PAULO,01023001,SP
MAXIMA CADERNOS INDUSTRIA E COMERCIO LTDA,,PEDRO RODRIGUES MACHADO,310,VILA RECREIO,ITAPETININGA,18214610,SP
MAXIMO SUPERMERCADOS ATACADISTA LTDA.,,JUSCELINO KUBITSCHEK DE OLIVEIRA,705,CAMPO DO GALVAO,GUARATINGUETA,12505300,SP
MAXION WHEELS DO BRASIL LTDA.,HL HOLDING,ALEXANDRE GUSMAO,834,PARQUE CAPUAVA,SANTO ANDRE,09111310,SP
MAXLAV LAVANDERIA ESPECIALIZADA S.A.,MAXLAV SERVICES,VIGATO,520,DISTRITO INDUSTRIAL,JAGUARIUNA,13910001,SP
MAXMA SERVICOS ESPECIALIZADOS PARA CONSTRUCAO EIRELI,,RANGEL PESTANA,218,JARDIM CRISTIANE,SANTO ANDRE,09185220,SP
MAXMIX COMERCIAL LTDA,CAMICADO HOUSEWARE,TUTOIA,938,VILA MARIANA,SAO PAULO,04007005,SP
MAXPOLI INDUSTRIA E COMERCIO DE PLASTICOS LTDA,,JAGUARIAIVA,80,VL.MATILDE,SAO PAULO,03545070,SP
MAXPREMIER PORTARIA E LIMPEZA LTDA,,DAS PALMAS,163,CARANDIRU,SAO PAULO,02071060,SP
MAXXCOMP SERVICOS DE PORTARIA E LIMPEZA - EIRELI,,HERVAL,866,BELENZINHO,SAO PAULO,03062000,SP
MAXXILAB EXAMES LABORATORIAIS S.A.,,OTAVIO TARQUINIO DE SOUZA,191,CAMPO BELO,SAO PAULO,04613000,SP
MAXXIMA SERVICOS INTEGRADOS LTDA,MAXXIMA IN TEGRADOS,JOSE RENATO PANTOJA,71,LAR SAO PAULO,SAO PAULO,05639000,SP
MAYEKAWA DO BRASIL EQUIPAMENTOS INDUSTRIAIS LTDA,MAYEKAWA,LICATEM,250,JARDIM FAZENDA RINCAO,ARUJA,07428280,SP
MAZA PRODUTOS QUIMICOS LTDA,,JOSE OLETO,1140,DIST INDUST II,MOCOCA,13739070,SP
MAZA SERVICES MANUTENCAO LTDA,,JUPITER,534,JARDIM DA GRANJA,SAO JOSE DOS CAMPOS,12227460,SP
MAZAFORTE TERCEIRIZACAO DE SERVICOS DE CONTROLADORES DE ACESSO LTDA,,CANTAGALO,2442,VILA GOMES CARDIM,SAO PAULO,03319002,SP
MAZAK SULAMERICANA LTDA,MAZAK,VASCO DA GAMA,100,CHACARAS DO TREVO,VINHEDO,13280001,SP
MAZDA EMBALAGENS LTDA EM RECUPERACAO JUDICIAL,,PAULICEIA,1650,LARANJEIRAS,CAIEIRAS,07743130,SP
MAZER INDUSTRIA GRAFICA E EDITORA EIRELI,,CORNELIO PIRES - KM 73 + 950M,S/N,PONTE ALTA,TIETE,18530000,SP
MAZETTO INDUSTRIA E COMERCIO DE ALUMINIOS LTDA,ALUMINIO ARARY,DAS ROSAS,350,SOBRADINHO,ARARAS,13602009,SP
"MAZZA, FREGOLENTE & CIA - ELETRICIDADE E CONSTRUCOES LTDA",MAZZA & FREGOLENTE,MARQUES DE SAO VICENTE,405,VARZEA DA BARRA FUNDA,SAO PAULO,01139001,SP
MAZZAFERRO IND. E COM. DE PRODUTOS PARA PESCA S/A,,FUNDIBEM,S/N,JARDIM CASA GRANDE,DIADEMA,09961390,SP
MAZZAROPI HOTEIS E SERVICOS LTDA,HOTEL FAZENDA MAZZAROPI,MUNICIPAL DOS REMEDIOS,2380,REMEDIOS,TAUBATE,12086020,SP
MAZZATECH SERVICOS E CONSULTORIA EM INFORMATICA LTDA.,,ALEXANDRE DUMAS,1601,CHACARA SANTO ANTONIO,SAO PAULO,04717004,SP
MB ENGENHARIA E CONSTRUCOES LTDA,MB ENGENHARIA E CONSTRUCOES,BOA VISTA,773,CENTRO,REGINOPOLIS,17190000,SP
MB PROMO SERVICE - MAO DE OBRA TEMPORARIA E REPRESENTACAO COMERCIAL LTDA,,GENERAL ATALIBA LEONEL,1205,SANTANA,SAO PAULO,02033000,SP
MB TRANSPORTES EIRELI,M.B. TRANSPORTES,DO LAUREANO,386,EDEN,SOROCABA,18103105,SP
MB-TEC SERVICE EIRELI,,SAO LOURENCO,2110,VILA SANTA CRUZ,MATAO,15990300,SP
MBM - SERVICOS DE TELEATENDIMENTO AO CLIENTE LTDA.,,DOUTOR RICARDO JAFET,1923,VILA SANTA EULALIA,SAO PAULO,04260020,SP
