Logradouro,Longitude,Latitude
"DO BOSQUE, SAO PAULO",-45.4582366,-22.9203641
"BANDEIRA PAULISTA, SAO PAULO",-46.6742644,-23.5898421
"CUNHA GAGO, SAO PAULO",-46.6921563,-23.5647716
"BORGES FIGUEIREDO, SAO PAULO",-46.6028006,-23.5667527
"ORATORIO, SANTO ANDRE",-46.4916266,-23.624427
"LAZARO LUIZ BARBOSA, JACI",-49.5714159,-20.8785994
"GOMES DE CARVALHO, SAO PAULO",,
"GOMES DE CARVALHO, SAO PAULO",,
"ESTADUAL SP 191, KM 87, IPEUNA",,
"MUNICIPAL IPN 020, IPEUNA",,
"MUNICIPAL IPN 020 KM 1,5, IPEUNA",,
"EDSCHA, SOROCABA",-47.4352258,-23.429603
"ANGATUBA, SAO BERNARDO DO CAMPO",-46.5444924,-23.6870573
"JOSE FELIX DE OLIVEIRA, COTIA",,
"SALGADO FILHO, GUARULHOS",-46.53,-23.4649389
"FORCA PUBLICA, GUARULHOS",-46.529756309087425,-23.472379699999998
"FORCA PUBLICA, GUARULHOS",-46.529756309087425,-23.472379699999998
"VERBO DIVINO, SAO PAULO",-46.7000278,-23.6366032
"MAESTRO JOAO GOMES DE ARAUJO, SAO PAULO",,
"ALICE ALEM SAADI, RIBEIRAO PRETO",,
"CHINA, SAO BERNARDO DO CAMPO",-46.6028362,-23.6597099
"ANTONIO RODRIGUES FILHO, GUARULHOS",-46.4551163,-23.4350833
"ARTHUR ESPERIGONI, LUIS ANTONIO",,
"PASSADENA, COTIA",,
"MARIO MAZIERO, PAULINIA",-47.1308246,-22.7799801
"BENTO DE ANDRADE, SAO PAULO",-46.740900610021555,-23.6403
"BOM PASTOR, SAO PAULO",-47.78372141682805,-20.3191958
"CABO JOAO TERUEL FREGONI, GUARULHOS",-46.5529172,-23.5043341
"DUQUESA DE GOIAS, SAO PAULO",,
"PARANA, ITAPOLIS",-51.1745918,-23.3043527
"LOMAS VALENTINAS, SAO PAULO",-46.722988,-23.5289293
"MORUMBI, SAO PAULO",-46.7178446,-23.5964988
"INDIO TIBIRICA, SUZANO",-46.3392482,-23.6629811
"LAUZANE, SAO PAULO",-46.6445383,-23.4713573
"PEREIRA DA FONSECA, SOROCABA",-47.4122056,-23.4241926
"ARMANDO DE ANDRADE, TABOAO DA SERRA",-46.7557897,-23.6071394
"ESTADOS UNIDOS, SAO PAULO",-170.28910624425035,57.17858655
"REBOUCAS, SAO PAULO",-46.29991066790821,-23.98122755
"JUPITER, INDAIATUBA",-47.236338,-23.1397066
"MARGINAL DIREITA DO TIETE, SAO PAULO",,
"ITABAIANA, SAO JOSE DOS CAMPOS",-45.9156083,-23.2478064
"VIEIRA DE MORAIS, SAO PAULO",-48.417351505263085,-23.487373249999997
"PROFESSOR JOAO CAVALEIRO SALEM, GUARULHOS",-46.4155008,-23.432283
"PREFEITO CARLOS FERREIRA LOPES, MOGI DAS CRUZES",,
"DAS NACOES UNIDAS, SAO PAULO",-46.6946043,-23.6025397
"EUCLIDES MIRAGAIA, SAO JOSE DOS CAMPOS",,
"DAS NACOES UNIDAS, SAO PAULO",-46.6946043,-23.6025397
"DR. EDGARDO DE AZEVEDO SOARES, VARZEA PAULISTA",,
"CARNEIRO DA CUNHA, SAO PAULO",,
"BRIGADEIRO FARIA LIMA, SAO PAULO",,
"ARAGUAIA, BARUERI",-46.8499394,-23.498754
"CONSELHEIRO FURTADO, SAO PAULO",-47.3867592,-24.653213
"BARAO DE PENEDO, GUARULHOS",-46.4662925,-23.4787431
"ADRIANO JOSE MARCHINI, SAO PAULO",-46.6750872,-23.5196029
"LUIZ FACCINI, GUARULHOS",,
"SAO LEOPOLDO, SAO PAULO",-47.0504116,-22.8945267
"FAUSTINA FRANCHI ANNICCHINO, CAPIVARI",,
"AMBROSIO FUMAGALLI, LIMEIRA",-47.3869687,-22.5353789
"OCTAVIO ADAMI, CATANDUVA",,
"URUGUAI, RIBEIRAO PRETO",-47.7937192,-21.1389276
"FUNCHAL, SAO PAULO",-46.6918895,-23.5942914
"PREFEITO ROBERTO AZEDA RIBEIRO DE AGUIAR, GUARACI",,
"ARICANDUVA, SAO PAULO",-46.511454,-23.5780239
"SHISHIMA HIFUMI, SAO JOSE DOS CAMPOS",-45.939895,-23.202993
"DR. LABIENO DA COSTA MACHADO, GARCA",,
"DOUTOR ANTONIO BARBOSA FILHO, FRANCA",,
"SANTA ROSALIA, SOROCABA",-47.444378838467884,-23.488624100000003
"BRASIL, FRANCA",-47.4009795,-20.5381768
"ESTADOS UNIDOS, MOCOCA",,
"XAVANTES, GUARATINGUETA",-45.2051529,-22.7994732
"DOS ROMEIROS, SANTANA DE PARNAIBA",-46.916256,-23.4571397
"DO ESTADO, SAO PAULO",-53.3920117,-24.522991
"ALMIRANTE BRASIL, SAO PAULO",,
"ELISHA OTIS, SAO BERNARDO DO CAMPO",,
"DOS ESTUDANTES, SAO PAULO",-46.1850496,-23.5157403
"JOAO DE BARROS, SANTOS",,
"JAIBARAS, SAO PAULO",-46.5971631,-23.5480248
"JULIO DE PAULA CLARO, PINDAMONHANGABA",-45.3970602,-22.9386457
"JULIO MICHELAZZO, SAO JOAO DA BOA VISTA",-46.8120511,-21.9803577
"PRESIDENTE DUTRA, SAO JOSE DOS CAMPOS",,
